code,name,prev_shares,curr_shares,shares_delta,prev_weight,curr_weight,weight_delta,status
2455,全新,2753000,2150000,-603000,3.26,2.69,-0.5699999999999998,DOWN
2308,台達電,382000,0,-382000,1.68,0.0,-1.68,OUT
6223,旺矽,268000,268000,0,3.49,3.77,0.2799999999999998,WEIGHT_CHANGE
1815,富喬,10877000,10877000,0,3.35,3.57,0.21999999999999975,WEIGHT_CHANGE
2330,台積電,1116000,1116000,0,6.51,6.69,0.1800000000000006,WEIGHT_CHANGE
3037,欣興,2482000,2482000,0,5.59,5.75,0.16000000000000014,WEIGHT_CHANGE
1303,南亞,5445000,5445000,0,2.98,3.11,0.1299999999999999,WEIGHT_CHANGE
3443,創意,164000,164000,0,2.31,2.37,0.06000000000000005,WEIGHT_CHANGE
8996,高力,1630000,1630000,0,4.79,4.85,0.05999999999999961,WEIGHT_CHANGE
3661,世芯-KY,215000,215000,0,2.06,2.1,0.040000000000000036,WEIGHT_CHANGE
4958,臻鼎-KY,1000000,1000000,0,1.19,1.23,0.040000000000000036,WEIGHT_CHANGE
2454,聯發科,145000,145000,0,1.64,1.66,0.020000000000000018,WEIGHT_CHANGE
2360,致茂,76000,76000,0,0.4,0.42,0.019999999999999962,WEIGHT_CHANGE
3189,景碩,844013,844013,0,1.63,1.64,0.010000000000000009,WEIGHT_CHANGE
5274,信驊,11000,11000,0,0.5,0.51,0.010000000000000009,WEIGHT_CHANGE
6139,亞翔,250000,250000,0,0.44,0.45,0.010000000000000009,WEIGHT_CHANGE
6187,萬潤,134000,134000,0,0.44,0.45,0.010000000000000009,WEIGHT_CHANGE
6213,聯茂,373000,373000,0,0.45,0.46,0.010000000000000009,WEIGHT_CHANGE
8150,南茂,1957000,1957000,0,0.42,0.43,0.010000000000000009,WEIGHT_CHANGE
3026,禾伸堂,261000,261000,0,0.48,0.47,-0.010000000000000009,WEIGHT_CHANGE
3081,聯亞,63000,63000,0,0.46,0.44,-0.020000000000000018,WEIGHT_CHANGE
6584,南俊國際,2231000,2231000,0,3.28,3.26,-0.020000000000000018,WEIGHT_CHANGE
2383,台光電,465000,465000,0,6.06,6.03,-0.02999999999999936,WEIGHT_CHANGE
3231,緯創,7245000,7245000,0,3.38,3.28,-0.10000000000000009,WEIGHT_CHANGE
6669,緯穎,429675,429675,0,2.54,2.44,-0.10000000000000009,WEIGHT_CHANGE
3017,奇鋐,1001000,1001000,0,8.12,7.99,-0.129999999999999,WEIGHT_CHANGE
3665,貿聯-KY,1161000,1161000,0,5.7,5.46,-0.2400000000000002,WEIGHT_CHANGE
2345,智邦,1074000,1074000,0,5.35,5.1,-0.25,WEIGHT_CHANGE
2059,川湖,205000,205000,0,6.76,6.23,-0.5299999999999994,WEIGHT_CHANGE
2301,光寶科,659000,659000,0,0.47,0.47,0.0,SAME
2357,華碩,196000,196000,0,0.46,0.46,0.0,SAME
2376,技嘉,508000,508000,0,0.44,0.44,0.0,SAME
2404,漢唐,155000,155000,0,0.4,0.4,0.0,SAME
3008,大立光,293000,293000,0,4.63,4.63,0.0,SAME
3653,健策,33000,33000,0,0.44,0.44,0.0,SAME
5289,宜鼎,99952,99952,0,0.33,0.33,0.0,SAME
5347,世界,629000,629000,0,0.23,0.23,0.0,SAME
6274,台燿,113000,113000,0,0.37,0.37,0.0,SAME
8046,南電,968000,968000,0,2.41,2.41,0.0,SAME
8021,尖點,2682000,2682000,0,2.94,2.93,-0.009999999999999787,SAME
